,x
GSM3290067,PAH
GSM3290068,PAH
GSM3290069,PAH
GSM3290070,PAH
GSM3290071,PAH
GSM3290072,PAH
GSM3290073,PAH
GSM3290074,PAH
GSM3290075,PAH
GSM3290076,PAH
GSM3290077,PAH
GSM3290078,PAH
GSM3290079,PAH
GSM3290080,PAH
GSM3290081,PAH
GSM3290082,PAH
GSM3290084,PAH
GSM3290087,PAH
GSM3290089,PAH
GSM3290090,PAH
GSM3290095,PAH
GSM3290096,PAH
GSM3290099,PAH
GSM3290103,PAH
GSM3290104,PAH
GSM3290105,PAH
GSM3290106,PAH
GSM3290107,PAH
GSM3290108,PAH
GSM3290109,PAH
GSM3290110,PAH
GSM3290111,PAH
GSM3290112,PAH
GSM3290113,PAH
GSM3290114,PAH
GSM3290115,PAH
GSM3290116,PAH
GSM3290117,PAH
GSM3290120,PAH
GSM3290121,PAH
GSM3290126,PAH
GSM3290127,PAH
GSM3290128,PAH
GSM3290129,PAH
GSM3290130,PAH
GSM3290135,PAH
GSM3290136,PAH
GSM3290137,PAH
GSM3290138,PAH
GSM3290139,PAH
GSM3290140,PAH
GSM3290141,PAH
GSM3290142,PAH
GSM3290143,PAH
GSM3290144,PAH
GSM3290145,PAH
GSM3290148,PAH
GSM3290149,PAH
GSM3290083,normal
GSM3290085,normal
GSM3290086,normal
GSM3290088,normal
GSM3290091,normal
GSM3290092,normal
GSM3290093,normal
GSM3290094,normal
GSM3290097,normal
GSM3290098,normal
GSM3290100,normal
GSM3290101,normal
GSM3290102,normal
GSM3290118,normal
GSM3290119,normal
GSM3290122,normal
GSM3290123,normal
GSM3290124,normal
GSM3290125,normal
GSM3290131,normal
GSM3290132,normal
GSM3290133,normal
GSM3290134,normal
GSM3290146,normal
GSM3290147,normal
